date,Aspropirgos,Galatsi,Kiourka,Menidi,Total
1997-05-03,34220,335720,65830,379660,815430
1997-05-04,34660,298080,70330,368190,771260
1997-05-05,39570,354680,65120,386890,846260
1997-05-06,39740,386900,67070,390610,884320
1997-05-07,42120,383850,69710,398660,894340
1997-05-08,35430,360120,76320,396400,868270
1997-05-09,54340,374550,91090,428460,948440
1997-05-10,32610,391290,101410,446460,971770
1997-05-11,41350,354690,100920,404040,901000
1997-05-12,42030,381920,86270,453230,963450
1997-05-13,43290,368330,85660,442390,939670
1997-05-14,41790,394320,89470,451210,976790
1997-05-15,42660,380090,86530,456640,965920
1997-05-16,45840,373630,114350,455510,989330
1997-05-17,46420,388280,138140,455990,1028830
1997-05-18,44530,358240,131030,451020,984820
1997-05-19,44120,381590,115810,455680,997200
1997-05-20,44980,357850,100930,474950,978710
1997-05-21,42950,357900,106440,489570,996860
1997-05-22,46480,367040,111340,484580,1009440
1997-05-23,47640,369910,131550,473060,1022160
1997-05-24,49020,367420,135770,380890,933100
1997-05-25,49440,323770,123710,465350,962270
1997-05-26,45560,347800,112870,473770,980000
1997-05-27,44200,325220,98340,445310,913070
1997-05-28,45810,365580,106780,453000,971170
1997-05-29,45040,371660,104920,443120,964740
1997-05-30,46500,352710,105560,448130,952900
1997-05-31,47810,352120,121590,434750,956270
1997-06-01,37970,336070,123000,442070,939110
1997-06-02,54010,348000,99350,494460,995820
1997-06-03,23370,315160,78610,466240,883380
1997-06-04,26100,325150,97740,511440,960430
1997-06-05,30600,322030,102270,486510,941410
1997-06-06,26240,329350,89840,468650,914080
1997-06-07,29820,340180,99930,492240,962170
1997-06-08,32090,279220,106210,458720,876240
1997-06-09,29780,314090,95920,487660,927450
1997-06-10,27870,325920,96330,502510,952630
1997-06-11,30280,333580,110050,510230,984140
1997-06-12,29200,329160,108390,511080,977830
1997-06-13,30650,388660,139480,520950,1079740
1997-06-14,35480,293270,160330,524330,1013410
1997-06-15,35330,319860,149810,460960,965960
1997-06-16,34020,358910,132560,503820,1029310
1997-06-17,31630,343070,124760,532590,1032050
1997-06-18,21040,359160,143120,527980,1051300
1997-06-19,35030,355390,161260,536040,1087720
1997-06-20,36270,372420,167420,534610,1110720
1997-06-21,38950,345300,179090,507050,1070390
1997-06-22,36220,310120,166690,488800,1001830
1997-06-23,34490,360750,156820,525970,1078030
1997-06-24,33470,360650,142530,538840,1075490
1997-06-25,35070,353290,150740,526500,1065600
1997-06-26,33520,339410,126540,518480,1017950
1997-06-27,34580,343500,136880,524030,1038990
1997-06-28,38070,337670,152000,518100,1045840
1997-06-29,38270,296320,146160,483400,964150
1997-06-30,37170,354380,147660,541290,1080500
1997-07-01,33500,332570,138430,544290,1048790
1997-07-02,36390,343140,147010,517380,1043920
1997-07-03,35830,381510,144430,523660,1085430
1997-07-04,39940,343840,170890,531980,1086650
1997-07-05,42160,361430,191570,520420,1115580
1997-07-06,39540,355090,176190,497330,1068150
1997-07-07,37070,382050,160340,533110,1112570
1997-07-08,33890,355690,147190,525090,1061860
1997-07-09,36740,351160,154640,551710,1094250
1997-07-10,36280,321280,150180,515510,1023250
1997-07-11,38490,322750,158720,492040,1012000
1997-07-12,39020,352670,176010,476100,1043800
1997-07-13,38230,319220,149400,460890,967740
1997-07-14,38410,333100,154170,500800,1026480
1997-07-15,35990,349580,142340,502300,1030210
1997-07-16,33730,344260,142600,476920,997510
1997-07-17,35460,345740,136130,485470,1002800
1997-07-18,36860,329690,144420,463890,974860
1997-07-19,39240,336480,169970,484200,1029890
1997-07-20,40090,307630,151780,459820,959320
1997-07-21,39720,359720,152750,486780,1038970
1997-07-22,39500,338750,148930,487980,1015160
1997-07-23,41310,344880,159850,497640,1043680
1997-07-24,38590,354540,160150,482880,1036160
1997-07-25,36630,348470,151950,495390,1032440
1997-07-26,40200,322480,149850,469410,981940
1997-07-27,38120,347340,139490,436780,961730
1997-07-28,37230,365770,145860,488640,1037500
1997-07-29,36180,329140,132420,483100,980840
1997-07-30,38030,341780,136910,486730,1003450
1997-07-31,4310,337310,143200,513710,998530
1997-08-01,0,339270,158460,523360,1021090
1997-08-02,0,336000,160870,496780,993650
1997-08-03,0,301810,140250,468610,910670
1997-08-04,0,344540,138650,502100,985290
1997-08-05,0,320320,141660,499460,961440
1997-08-06,0,313940,146480,498720,959140
1997-08-07,0,317260,147800,503810,968870
1997-08-08,0,326140,142280,497620,966040
1997-08-09,0,307050,144130,484570,935750
1997-08-10,0,306330,139940,443760,890030
1997-08-11,0,285440,106750,479260,871450
1997-08-12,0,288980,103010,429430,821420
1997-08-13,0,284190,95370,425760,805320
1997-08-14,0,274950,107960,457460,840370
1997-08-15,0,236170,100830,388080,725080
1997-08-16,0,262190,126810,428180,817180
1997-08-17,0,247400,116990,427660,792050
1997-08-18,0,293270,119660,451670,864600
1997-08-19,0,305870,114950,473260,894080
1997-08-20,0,300610,115350,483240,899200
1997-08-21,0,297340,113120,482320,892780
1997-08-22,0,328400,116350,475850,920600
1997-08-23,0,287360,120410,467070,874840
1997-08-24,0,274900,118070,476600,869570
1997-08-25,0,306870,107750,500950,915570
1997-08-26,0,325990,113100,494980,934070
1997-08-27,0,339800,113940,507310,961050
1997-08-28,0,346660,119530,495450,961640
1997-08-29,0,325610,137310,518030,980950
1997-08-30,0,324830,136260,518090,979180
1997-08-31,0,321830,128860,500280,950970
1997-09-01,0,329850,126410,533190,989450
1997-09-02,0,331800,117040,537320,986160
1997-09-03,0,345530,110340,497710,953580
1997-09-04,0,328540,116660,526180,971380
1997-09-05,0,323590,114600,525500,963690
1997-09-06,0,316590,116270,518540,951400
1997-09-07,0,320550,122290,509020,951860
1997-09-08,0,348000,119360,529770,997130
1997-09-09,53390,341700,120490,531710,1047290
1997-09-10,33880,338550,122480,571590,1066500
1997-09-11,32280,343060,107690,465680,948710
1997-09-12,44000,351410,117160,516310,1028880
1997-09-13,34900,342090,127460,523620,1028070
1997-09-14,33410,356800,125660,502930,1018800
1997-09-15,31500,374900,105500,496840,1008740
1997-09-16,30320,344130,100210,489360,964020
1997-09-17,29880,354700,99790,474650,959020
1997-09-18,30620,352900,100540,484500,968560
1997-09-19,31360,339410,112180,488910,971860
1997-09-20,34090,357450,127550,494680,1013770
1997-09-21,34460,329660,112660,457370,934150
1997-09-22,30740,344620,98350,486780,960490
1997-09-23,30210,338490,93160,485520,947380
1997-09-24,30120,346480,94780,494800,966180
1997-09-25,31260,353120,102730,459160,946270
1997-09-26,31660,350550,91520,495580,969310
1997-09-27,20430,352700,117720,506190,997040
1997-09-28,15210,338820,114090,482240,950360
1997-09-29,10340,251970,99080,500240,861630
1997-09-30,10760,334660,91770,504960,942150
1997-10-01,12280,363550,97090,496120,969040
1997-10-02,10620,342670,92510,491270,937070
1997-10-03,11360,363580,96090,503280,974310
1997-10-04,11890,352030,93400,481130,938450
1997-10-05,13420,309770,102090,485750,911030
1997-10-06,10250,338570,86140,498530,933490
1997-10-07,10510,346530,85390,501300,943730
1997-10-08,10230,342540,85440,514310,952520
